artist,song,features
Queen,A Kind Of Magic - Remastered 2011,"[{'danceability': 0.67, 'energy': 0.776, 'key': 9, 'loudness': -5.874, 'mode': 1, 'speechiness': 0.0356, 'acousticness': 0.0184, 'instrumentalness': 0.00294, 'liveness': 0.128, 'valence': 0.703, 'tempo': 130.128, 'type': 'audio_features', 'id': '5RYLa5P4qweEAKq5U1gdcK', 'uri': 'spotify:track:5RYLa5P4qweEAKq5U1gdcK', 'track_href': 'https://api.spotify.com/v1/tracks/5RYLa5P4qweEAKq5U1gdcK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5RYLa5P4qweEAKq5U1gdcK', 'duration_ms': 264253, 'time_signature': 4}]"
Queen,Bohemian Rhapsody - Remastered 2011,"[{'danceability': 0.414, 'energy': 0.404, 'key': 0, 'loudness': -9.928, 'mode': 0, 'speechiness': 0.0499, 'acousticness': 0.271, 'instrumentalness': 0, 'liveness': 0.3, 'valence': 0.224, 'tempo': 71.105, 'type': 'audio_features', 'id': '4u7EnebtmKWzUH433cf5Qv', 'uri': 'spotify:track:4u7EnebtmKWzUH433cf5Qv', 'track_href': 'https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv', 'duration_ms': 354320, 'time_signature': 4}]"
Queen,Another One Bites The Dust - Remastered 2011,"[{'danceability': 0.933, 'energy': 0.528, 'key': 5, 'loudness': -6.472, 'mode': 0, 'speechiness': 0.161, 'acousticness': 0.112, 'instrumentalness': 0.312, 'liveness': 0.163, 'valence': 0.754, 'tempo': 109.967, 'type': 'audio_features', 'id': '5vdp5UmvTsnMEMESIF2Ym7', 'uri': 'spotify:track:5vdp5UmvTsnMEMESIF2Ym7', 'track_href': 'https://api.spotify.com/v1/tracks/5vdp5UmvTsnMEMESIF2Ym7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5vdp5UmvTsnMEMESIF2Ym7', 'duration_ms': 214653, 'time_signature': 4}]"
Queen,Don't Stop Me Now - Remastered 2011,"[{'danceability': 0.559, 'energy': 0.868, 'key': 5, 'loudness': -5.276, 'mode': 1, 'speechiness': 0.17, 'acousticness': 0.0475, 'instrumentalness': 0.000176, 'liveness': 0.776, 'valence': 0.609, 'tempo': 156.295, 'type': 'audio_features', 'id': '5T8EDUDqKcs6OSOwEsfqG7', 'uri': 'spotify:track:5T8EDUDqKcs6OSOwEsfqG7', 'track_href': 'https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7', 'duration_ms': 209413, 'time_signature': 4}]"
Queen,Under Pressure - Remastered 2011,"[{'danceability': 0.671, 'energy': 0.712, 'key': 2, 'loudness': -7.815, 'mode': 1, 'speechiness': 0.0476, 'acousticness': 0.429, 'instrumentalness': 0, 'liveness': 0.103, 'valence': 0.462, 'tempo': 113.805, 'type': 'audio_features', 'id': '2fuCquhmrzHpu5xcA1ci9x', 'uri': 'spotify:track:2fuCquhmrzHpu5xcA1ci9x', 'track_href': 'https://api.spotify.com/v1/tracks/2fuCquhmrzHpu5xcA1ci9x', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2fuCquhmrzHpu5xcA1ci9x', 'duration_ms': 248440, 'time_signature': 4}]"
Queen,We Will Rock You - Remastered 2011,"[{'danceability': 0.692, 'energy': 0.497, 'key': 2, 'loudness': -7.316, 'mode': 1, 'speechiness': 0.119, 'acousticness': 0.676, 'instrumentalness': 0, 'liveness': 0.259, 'valence': 0.475, 'tempo': 81.308, 'type': 'audio_features', 'id': '4pbJqGIASGPr0ZpGpnWkDn', 'uri': 'spotify:track:4pbJqGIASGPr0ZpGpnWkDn', 'track_href': 'https://api.spotify.com/v1/tracks/4pbJqGIASGPr0ZpGpnWkDn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4pbJqGIASGPr0ZpGpnWkDn', 'duration_ms': 122067, 'time_signature': 4}]"
Queen,Crazy Little Thing Called Love - Remastered 2011,"[{'danceability': 0.599, 'energy': 0.761, 'key': 0, 'loudness': -6.887, 'mode': 1, 'speechiness': 0.0421, 'acousticness': 0.713, 'instrumentalness': 4.74e-06, 'liveness': 0.349, 'valence': 0.712, 'tempo': 77.015, 'type': 'audio_features', 'id': '6xdLJrVj4vIXwhuG8TMopk', 'uri': 'spotify:track:6xdLJrVj4vIXwhuG8TMopk', 'track_href': 'https://api.spotify.com/v1/tracks/6xdLJrVj4vIXwhuG8TMopk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6xdLJrVj4vIXwhuG8TMopk', 'duration_ms': 163373, 'time_signature': 4}]"
Queen,Radio Ga Ga - Remastered 2011,"[{'danceability': 0.744, 'energy': 0.502, 'key': 5, 'loudness': -7.719, 'mode': 1, 'speechiness': 0.0359, 'acousticness': 0.183, 'instrumentalness': 0.000228, 'liveness': 0.189, 'valence': 0.66, 'tempo': 112.344, 'type': 'audio_features', 'id': '1nQRg9q9uwALGzouOX5OyQ', 'uri': 'spotify:track:1nQRg9q9uwALGzouOX5OyQ', 'track_href': 'https://api.spotify.com/v1/tracks/1nQRg9q9uwALGzouOX5OyQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1nQRg9q9uwALGzouOX5OyQ', 'duration_ms': 348227, 'time_signature': 4}]"
Queen,I Want To Break Free - Single Remix,"[{'danceability': 0.795, 'energy': 0.435, 'key': 4, 'loudness': -8.927, 'mode': 1, 'speechiness': 0.0324, 'acousticness': 0.0841, 'instrumentalness': 0.00026, 'liveness': 0.0763, 'valence': 0.596, 'tempo': 108.95, 'type': 'audio_features', 'id': '2AkmdLbVKS1steeZdy8H1l', 'uri': 'spotify:track:2AkmdLbVKS1steeZdy8H1l', 'track_href': 'https://api.spotify.com/v1/tracks/2AkmdLbVKS1steeZdy8H1l', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2AkmdLbVKS1steeZdy8H1l', 'duration_ms': 258013, 'time_signature': 4}]"
Queen,We Are The Champions - Remastered 2011,"[{'danceability': 0.268, 'energy': 0.459, 'key': 10, 'loudness': -6.94, 'mode': 1, 'speechiness': 0.0346, 'acousticness': 0.378, 'instrumentalness': 0, 'liveness': 0.118, 'valence': 0.175, 'tempo': 64.177, 'type': 'audio_features', 'id': '1lCRw5FEZ1gPDNPzy1K4zW', 'uri': 'spotify:track:1lCRw5FEZ1gPDNPzy1K4zW', 'track_href': 'https://api.spotify.com/v1/tracks/1lCRw5FEZ1gPDNPzy1K4zW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1lCRw5FEZ1gPDNPzy1K4zW', 'duration_ms': 179200, 'time_signature': 4}]"
