artist,song,features
Queen,A Kind Of Magic - Remastered 2011,spotify:track:5RYLa5P4qweEAKq5U1gdcK
Queen,Bohemian Rhapsody - Remastered 2011,spotify:track:4u7EnebtmKWzUH433cf5Qv
Queen,Another One Bites The Dust - Remastered 2011,spotify:track:5vdp5UmvTsnMEMESIF2Ym7
Queen,Don't Stop Me Now - Remastered 2011,spotify:track:5T8EDUDqKcs6OSOwEsfqG7
Queen,Under Pressure - Remastered 2011,spotify:track:2fuCquhmrzHpu5xcA1ci9x
Queen,We Will Rock You - Remastered 2011,spotify:track:4pbJqGIASGPr0ZpGpnWkDn
Queen,Crazy Little Thing Called Love - Remastered 2011,spotify:track:6xdLJrVj4vIXwhuG8TMopk
Queen,Radio Ga Ga - Remastered 2011,spotify:track:1nQRg9q9uwALGzouOX5OyQ
Queen,I Want To Break Free - Single Remix,spotify:track:2AkmdLbVKS1steeZdy8H1l
Queen,We Are The Champions - Remastered 2011,spotify:track:1lCRw5FEZ1gPDNPzy1K4zW
Queen,Somebody To Love - Remastered 2011,spotify:track:4rDbp1vnvEhieiccprPMdI
Queen,Love Of My Life - Remastered 2011,spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd
Queen,Killer Queen - Remastered 2011,spotify:track:4cIPLtg1avt2Jm3ne9S1zy
Queen,Don't Stop Me Now - ...Revisited,spotify:track:3INsYP1Y8GG4qJvBsKCdXC
Queen,Good Old-Fashioned Lover Boy - Remastered 2011,spotify:track:1n7xFAY4xoPeqRvrkzAtsw
Queen,The Show Must Go On - Remastered 2011,spotify:track:5n6RDaGFSN88oRWuGtYAIN
Queen,You're My Best Friend - Remastered 2011,spotify:track:4vhVDkSx9RSb2k6mWFMYNI
Queen,I Want It All - Single Version,spotify:track:1MX6kqZ8FOht5UnQuPl6Jj
Queen,Fat Bottomed Girls - Remastered 2011,spotify:track:4igIYHF3B5VBxEafHauVo3
Queen,Radio Ga Ga - Live Aid,spotify:track:0YwBZKT8JE4U5TwmYE9BV9
Queen,Hammer To Fall - Remastered 2011,spotify:track:4zguEJ2UaLe4zbEIDWqiVP
Queen,Too Much Love Will Kill You - Remastered 2011,spotify:track:0W1uTK6I97CbjFKAVtRGfK
Queen,Bicycle Race - Remastered 2011,spotify:track:5CTAcf8aS0a0sIsDwQRF9C
Queen,We Are The Champions - Live Aid,spotify:track:4XaG9IpCXklOcuau1sIrUX
Queen,Who Wants To Live Forever - Remastered 2011,spotify:track:3SGP8It5WDnCONyApJKRTJ
Queen,Friends Will Be Friends - Remastered 2011,spotify:track:3EGlnkJGcwz73rT0oE0X1X
Queen,Cool Cat - Remastered 2011,spotify:track:7nhWtCc3v6Vem80gYPlppQ
Queen,Seven Seas Of Rhye - Remastered 2011,spotify:track:1IhLUUzMxDDJ9pzfT95exy
Queen,I Was Born To Love You - 2011 Remaster,spotify:track:7DtdhIJlSSOaAFNk4JdXCb
Queen,Innuendo - Remastered 2011,spotify:track:0BzhS74ByIVlyz8BedHaYi
Queen,Keep Yourself Alive - Live At The Rainbow,spotify:track:34pz8XUZRfw04lk4DPtwa7
Queen,It's A Hard Life - Remastered 2011,spotify:track:34MoKBRdC9JDjcL4b4X1Ic
Queen,Save Me - Remastered 2011,spotify:track:1pBFEy8cz0Fq4Pru0c4awd
Queen,Breakthru - Remastered 2011,spotify:track:5Nuxdf0f5PpaeaPm4jrhiE
Queen,Ay-Oh - Live Aid,spotify:track:6Fl9MoM9BDk6vwbHqBBZeK
Queen,Heaven For Everyone - Remastered 2011,spotify:track:3Klfd4rsRO53fYpxmdQmYV
Queen,One Vision - Remastered 2011,spotify:track:3ROPrLWea9uICOW4V2Px1y
Queen,Tie Your Mother Down - Remastered 2011,spotify:track:4mLKx7zsUdyT4Ax7rI7KXu
Queen,Play The Game - Remastered 2011,spotify:track:5p6xhgQCwzX0G9PadMU9GA
Queen,You Don't Fool Me - Remastered 2011,spotify:track:1chxAv59LZcOE5FyrlUze2
Queen,Princes Of The Universe - Remastered 2011,spotify:track:0Uy8lcDHiPDicBQ7rnDgcK
Queen,The Invisible Man - Remastered 2011,spotify:track:6VoiY3rukFPoqzP4AoGPU8
Queen,Headlong - Remastered 2011,spotify:track:6goUTcMn0V30hWtKFIj6Kh
Queen,Death On Two Legs (Dedicated To...) - Remastered 2011,spotify:track:2MvRMWU2ILRcFEU8WWbuP8
Queen,I'm In Love With My Car - Remastered 2011,spotify:track:253ewjP2R1LjKqA70mGdnk
George Michael,Somebody to Love,spotify:track:1kn8Jj0i9IwyO3yDgDyUSR
Queen,I'm Going Slightly Mad - Remastered 2011,spotify:track:1pHVfiNHMMZYquR35fTZdM
Queen,'39 - Remastered 2011,spotify:track:65NTcXUtOb27NHKQ4fAcw0
Queen,Flash - Single Version,spotify:track:5aswWmjJLHBSYFknQjegfg
Queen,Liar - Remastered 2011,spotify:track:6hPAoJvuIsgPlxnoZnjPRk
Queen,Now I'm Here - Remastered 2011,spotify:track:5v1osKVFv3rXWb1VJDO9pW
Larry Heard,Dreaming Of Better Days,spotify:track:4nP6WC0TU7MUIiop75FTVQ
The Rolling Stones,Can't You Hear Me Knocking - Remastered,spotify:track:7HRKgCruDphRaLW4wmx8xM
The Record Company,Off The Ground,spotify:track:3xRzUblYGZhVs52fMjii7R
Chris Stapleton,Tennessee Whiskey,spotify:track:1hMFIOaHdvpWK7XI80Wx4d
Nathaniel Rateliff & The Night Sweats,I Need Never Get Old,spotify:track:2KHuxWSwK8fB1zZSL1pECV
John Lee Hooker,"One Bourbon, One Scotch, One Beer",spotify:track:7oy11oZXWxwRYn5DUxk0oW
Derek & The Dominos,Have You Ever Loved A Woman?,spotify:track:2ROJOb98GorxStuOuZWcGd
Barns Courtney,Fire,spotify:track:6pWsAhgMZzoLAJ0hJP41iq
Tyler Bryant & the Shakedown,Devil's Keep,spotify:track:3fxETTPvwxkkpq3Ax2ZbcN
Vintage Trouble,Run Like The River,spotify:track:47aeY6IupdZAkLVoe5atUB
U2,When Love Comes To Town,spotify:track:0rkcFGA6XEVd2XV2JI6msk
George Thorogood & The Destroyers,Bad To The Bone,spotify:track:6s0NHplywwr1IjnQpUpWJk
Eric Clapton,Cocaine,spotify:track:2udGjDmpK1dH9VGyw7nrei
Albert King,Born Under A Bad Sign - Mono Mix,spotify:track:3ocm1Cf1Dk1ODrdBdybh82
The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,spotify:track:2PzU4IB8Dr6mxV3lHuaG34
The Band,The Night They Drove Old Dixie Down - Remastered 2000,spotify:track:2x0supcZhd6NEH1nem9DnR
Tame Impala,Elephant,spotify:track:6HqWcIutC3Bwk6awM1jnGP
Chuck Berry,Johnny B. Goode,spotify:track:4GHF75LwRT2Hsv9z3ZXpM8
Creedence Clearwater Revival,Fortunate Son,spotify:track:3yI282DoIJyERd0vGukMoB
Little Richard,Long Tall Sally (The Thing),spotify:track:6qb0O5HW7H4q6R0AbP38Ko
Allman Brothers Band,Midnight Rider,spotify:track:5RfhUFcQBeonzqLRhU8gvK
Jake Bugg,Lightning Bolt,spotify:track:5s9sZ2i76iAZeFt5f9uUKP
Cream,Sunshine Of Your Love,spotify:track:2BcvvHttiZRvguFM4hR398
The Black Keys,Tighten Up,spotify:track:2I3CLotxmAz4SgJDU9yFjl
The White Stripes,The Air Near My Fingers,spotify:track:03ZIYIkSXFEe8eKeG6qzE8
Jamie N Commons,Rumble And Sway,spotify:track:5aagC9VbZrcwYUZDhgC8Ej
Led Zeppelin,I Can't Quit You Baby - Remaster,spotify:track:4OQjzsqsnSy4YPB9yaRh0f
Tom Petty and the Heartbreakers,Mary Jane's Last Dance,spotify:track:5eYwDBLucWfWI5KsV7oYX2
Albert King,Travelin' Man,spotify:track:0fUeXvuwXDKRNqvrxveHWF
Black Joe Lewis & The Honeybears,Black Snake,spotify:track:3bre1AeDLj7UFDj3VO12Tb
The Commitments,Mustang Sally,spotify:track:1XlCCgKKrQQfXaDyv4GrZe
Dire Straits,Sultans of Swing,spotify:track:6cr6UDpkjEaMQ80OjWqEBQ
JD McPherson,Head Over Heels,spotify:track:2Rtya81WOGAAQNoCMRmJRD
Elbow,Grounds for Divorce,spotify:track:27rgTetikreqkvedaxrF5N
Free,All Right Now,spotify:track:4iFiqGqxaEQzm1CfoGVZib
Tom Petty and the Heartbreakers,Runnin' Down A Dream,spotify:track:6bxqVA0hflgfiVxdBcs7KY
Muddy Waters,(I'm Your) Hoochie Coochie Man,spotify:track:4g78lI7TkiIXIOZwzflR2U
Dan Auerbach,"Heartbroken, In Disrepair",spotify:track:3bDgjbhgJrCsKfntgE8xT1
Broken Witt Rebels,Shake Me Down,spotify:track:1VJ7wyKWyXuhLxCMnk8EMT
Ben Harper And The Innocent Criminals,Call It What It Is,spotify:track:5RTeMqtMcVCOukwgiNg11H
Jonny Lang,Before You Hit The Ground,spotify:track:4akqDi0F86Avv9yhujAk9P
Jimi Charles Moody,Turns To Gold,spotify:track:0RQubSwJFQaAHxKC5HQfFb
Steppenwolf,The Pusher,spotify:track:1Qc7zCw6k2KTvSEl4IKSdP
Tedeschi Trucks Band,Don't Know What It Means,spotify:track:4YJHaGo3uS2LqLjNz0ubTQ
Jamestown Revival,Head On,spotify:track:1LKGxJ4AVGDXTFBNOe0804
Goodbye June,Oh No,spotify:track:5sKEMQmbR2QKn3xXs9KVTk
Dorothy,Shelter,spotify:track:6VL8CcFIupoA2VBt4GDoGv
Jimi Hendrix,Hey Joe,spotify:track:0NWPxcsf5vdjdiFUI8NgkP
Mick Flannery,I Own You,spotify:track:10XGiS6tt8eNJg2HeXVQEJ
Pink Floyd,Money - 2011 Remastered Version,spotify:track:1SwE3FURO4wYshsLRggtfv
T. Rex,Get It On,spotify:track:5nbNdS5SKdpiDZjCBh8W7b
Jimmie Vaughan,Dengue Woman Blues,spotify:track:3L8DnKNfRS3vv13t1E5jc3
Gary Clark Jr.,Don't Owe You a Thang,spotify:track:4iu49FeQQGiUh2Dn1A8qCl
KALEO,Hot Blood,spotify:track:7d9sZF7jmepe2EYdETlNWK
Jack White,I'm Shakin',spotify:track:1Wj8TbAEUGChMPD1vvsUat
The Heavy,Turn Up,spotify:track:3azzw8vbVQUYQP4SXajDVN
Rival Sons,Open My Eyes,spotify:track:4dSHIPkmOqNMG3pE5O6vPn
Madness,Mr. Apples,spotify:track:6n7eECmtIZt6TX6wF6vHZe
Elvis Presley,Jailhouse Rock,spotify:track:4gphxUgq0JSFv2BCLhNDiE
Benjamin Booker,Violent Shiver,spotify:track:0fmsS6mNtTTKjsBTXoh0KN
Cage The Elephant,Ain't No Rest For The Wicked - Original Version,spotify:track:5c5a2Ptu8eyIpljhQHjIqk
White Denim,Ha Ha Ha Ha (Yeah),spotify:track:3nABlIAhAuI5YdL4EExmvt
GoldLink,Joke Ting (feat. Ari PenSmith),spotify:track:6Ic2MP2hzoBLe3r1VIle8J
Jay Daniel,Solo,spotify:track:5kDJIZgf2UhN4W9C5hkXVE
Andrew Ashong,Eye Mo K,spotify:track:4LBrt8RUMpGhPXkLqvsh4U
Baba Stiltz,Running to Chad,spotify:track:1U9pbJid67kQlP0t6gFDMV
Sunni Colón,Mornin Dew,spotify:track:6bxtai04eVsvV7IZGqOXMy
Daniel Caesar,FRONTAL LOBE MUZIK,spotify:track:0b6l1obmzq1YrqiKBVLtIo
GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",spotify:track:2p37Mfy2PWajgOS3i2aaep
Erika de Casier,Little Bit - Sydlandsmix by Erika de Casier and El Trick,spotify:track:6rWb8UyLexLf2mhaYXHdgp
Daniel Caesar,CYANIDE,spotify:track:3uouaAVXpQR3X8RYkJyitQ
Erika de Casier,Do My Thing,spotify:track:1n54RGkwdrWIeh01VdtbWr
Toyin Agbetu,Heartbreaker,spotify:track:5cBip8Q5QDHlbB0PgwOihZ
Amerie,I Just Died,spotify:track:54FAYoGATQPUBbxCIclHkG
