artist,track,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
queen,a kind of magic,0.67,0.776,-5.874,0.0356,0.0184,0.00294,0.128,0.703,130.128,3
queen,bohemian rhapsody,0.414,0.404,-9.928,0.0499,0.271,0.0,0.3,0.224,71.105,6
queen,another one bites the dust,0.933,0.528,-6.472,0.161,0.112,0.312,0.163,0.754,109.967,3
queen,don't stop me now,0.559,0.868,-5.276,0.17,0.0475,0.000176,0.776,0.609,156.295,5
queen,under pressure,0.671,0.712,-7.815,0.0476,0.429,0.0,0.103,0.462,113.805,3
queen,we will rock you,0.692,0.497,-7.316,0.119,0.676,0.0,0.259,0.475,81.308,6
queen,crazy little thing called love,0.599,0.761,-6.887,0.0421,0.713,4.74e-06,0.349,0.712,77.015,3
queen,radio ga ga,0.744,0.502,-7.719,0.0359,0.183,0.000228,0.189,0.66,112.344,3
queen,i want to break free - single remix,0.795,0.435,-8.927,0.0324,0.0841,0.00026,0.0763,0.596,108.95,3
queen,we are the champions,0.268,0.459,-6.94,0.0346,0.378,0.0,0.118,0.175,64.177,6
queen,somebody to love,0.406,0.698,-7.024,0.0624,0.186,0.0,0.233,0.333,109.266,0
queen,love of my life,0.329,0.179,-11.589,0.0299,0.933,5.04e-06,0.115,0.255,154.175,6
queen,killer queen,0.535,0.651,-6.326,0.0544,0.391,0.0,0.133,0.612,117.218,3
queen,don't stop me now - ...revisited,0.465,0.917,-6.331,0.237,0.0152,0.02,0.286,0.39,155.061,0
queen,good old-fashioned lover boy,0.543,0.461,-6.724,0.0302,0.577,0.0,0.0563,0.385,96.803,6
queen,the show must go on,0.426,0.687,-6.926,0.0329,0.409,0.0,0.112,0.189,84.141,0
queen,you're my best friend,0.51,0.76,-6.995,0.0411,0.148,0.0116,0.0706,0.55,118.829,0
queen,i want it all - single version,0.406,0.847,-5.705,0.0482,0.0249,3.01e-06,0.375,0.379,92.245,0
queen,fat bottomed girls,0.337,0.684,-7.674,0.0495,0.0319,6.57e-06,0.342,0.404,88.772,0
queen,radio ga ga - live aid,0.406,0.934,-6.668,0.0845,0.0138,0.0,0.955,0.395,118.823,5
queen,hammer to fall,0.428,0.787,-4.998,0.0849,0.315,2.03e-05,0.124,0.523,128.582,0
queen,too much love will kill you,0.385,0.395,-7.602,0.0313,0.58,6.31e-05,0.159,0.21,72.933,6
queen,bicycle race,0.463,0.671,-6.438,0.0683,0.0626,0.0,0.0947,0.633,84.28,3
queen,we are the champions - live aid,0.316,0.86,-5.038,0.0661,0.175,4.92e-05,0.902,0.195,100.888,5
queen,who wants to live forever,0.182,0.388,-8.672,0.0324,0.544,0.00134,0.114,0.0392,139.276,6
queen,friends will be friends,0.447,0.531,-7.721,0.0269,0.0377,1.28e-05,0.336,0.339,75.051,0
queen,cool cat,0.818,0.4,-9.927,0.11,0.302,0.00241,0.18,0.838,73.76,3
queen,seven seas of rhye,0.317,0.896,-6.089,0.104,0.122,0.0168,0.253,0.421,126.894,0
queen,i was born to love you - 2011 remaster,0.449,0.908,-6.131,0.0853,0.0833,0.0,0.0971,0.495,139.083,0
queen,innuendo,0.346,0.728,-5.747,0.0451,0.187,0.00379,0.344,0.174,74.939,0
queen,keep yourself alive - live at the rainbow,0.308,0.975,-5.894,0.173,0.0194,9.14e-06,0.975,0.295,138.974,5
queen,it's a hard life,0.42,0.599,-6.188,0.0291,0.422,0.0,0.159,0.299,82.336,6
queen,save me,0.507,0.452,-6.8,0.0269,0.359,0.0,0.109,0.322,81.632,6
queen,breakthru,0.569,0.864,-5.697,0.0862,0.0614,0.00955,0.353,0.318,90.08,0
queen,ay-oh - live aid,0.215,0.87,-10.92,0.351,0.881,0.112,0.976,0.462,144.877,5
queen,heaven for everyone,0.593,0.425,-9.775,0.0288,0.29,1.34e-06,0.167,0.268,110.208,6
queen,one vision,0.456,0.923,-7.398,0.223,0.0444,0.000296,0.361,0.338,120.004,0
queen,tie your mother down,0.331,0.887,-5.588,0.0648,0.114,0.000103,0.367,0.196,135.035,0
queen,play the game,0.242,0.7,-5.772,0.0346,0.341,0.0,0.122,0.273,156.706,0
queen,you don't fool me,0.591,0.829,-6.499,0.036,0.101,8.63e-05,0.385,0.574,121.964,0
queen,princes of the universe,0.386,0.881,-5.045,0.0922,0.0327,0.0,0.296,0.267,81.397,0
queen,the invisible man,0.704,0.792,-6.94,0.0422,0.188,0.0155,0.328,0.563,119.994,3
queen,headlong,0.566,0.912,-5.265,0.0964,0.192,7.19e-06,0.127,0.372,143.982,0
