artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
Queen,A Kind Of Magic - Remastered 2011,0.67,0.776,9.0,-5.874,1.0,0.0356,0.0184,0.00294,0.128,0.703,130.128,spotify:track:5RYLa5P4qweEAKq5U1gdcK,264253.0,4.0
Queen,Bohemian Rhapsody - Remastered 2011,0.414,0.404,0.0,-9.928,0.0,0.0499,0.271,0.0,0.3,0.224,71.105,spotify:track:4u7EnebtmKWzUH433cf5Qv,354320.0,4.0
Queen,Another One Bites The Dust - Remastered 2011,0.933,0.528,5.0,-6.472,0.0,0.161,0.112,0.312,0.163,0.754,109.967,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,214653.0,4.0
Queen,Don't Stop Me Now - Remastered 2011,0.559,0.868,5.0,-5.276,1.0,0.17,0.0475,0.000176,0.776,0.609,156.295,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,209413.0,4.0
Queen,Under Pressure - Remastered 2011,0.671,0.712,2.0,-7.815,1.0,0.0476,0.429,0.0,0.103,0.462,113.805,spotify:track:2fuCquhmrzHpu5xcA1ci9x,248440.0,4.0
Queen,We Will Rock You - Remastered 2011,0.692,0.497,2.0,-7.316,1.0,0.119,0.676,0.0,0.259,0.475,81.308,spotify:track:4pbJqGIASGPr0ZpGpnWkDn,122067.0,4.0
Queen,Crazy Little Thing Called Love - Remastered 2011,0.599,0.761,0.0,-6.887,1.0,0.0421,0.713,4.74e-06,0.349,0.712,77.015,spotify:track:6xdLJrVj4vIXwhuG8TMopk,163373.0,4.0
Queen,Radio Ga Ga - Remastered 2011,0.744,0.502,5.0,-7.719,1.0,0.0359,0.183,0.000228,0.189,0.66,112.344,spotify:track:1nQRg9q9uwALGzouOX5OyQ,348227.0,4.0
Queen,I Want To Break Free - Single Remix,0.795,0.435,4.0,-8.927,1.0,0.0324,0.0841,0.00026,0.0763,0.596,108.95,spotify:track:2AkmdLbVKS1steeZdy8H1l,258013.0,4.0
Queen,We Are The Champions - Remastered 2011,0.268,0.459,10.0,-6.94,1.0,0.0346,0.378,0.0,0.118,0.175,64.177,spotify:track:1lCRw5FEZ1gPDNPzy1K4zW,179200.0,4.0
Queen,Somebody To Love - Remastered 2011,0.406,0.698,8.0,-7.024,1.0,0.0624,0.186,0.0,0.233,0.333,109.266,spotify:track:4rDbp1vnvEhieiccprPMdI,296480.0,3.0
Queen,Love Of My Life - Remastered 2011,0.329,0.179,5.0,-11.589,1.0,0.0299,0.933,5.04e-06,0.115,0.255,154.175,spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd,217387.0,4.0
Queen,Killer Queen - Remastered 2011,0.535,0.651,10.0,-6.326,1.0,0.0544,0.391,0.0,0.133,0.612,117.218,spotify:track:4cIPLtg1avt2Jm3ne9S1zy,179600.0,4.0
Queen,Don't Stop Me Now - ...Revisited,0.465,0.917,5.0,-6.331,1.0,0.237,0.0152,0.02,0.286,0.39,155.061,spotify:track:3INsYP1Y8GG4qJvBsKCdXC,217824.0,4.0
Queen,Good Old-Fashioned Lover Boy - Remastered 2011,0.543,0.461,3.0,-6.724,1.0,0.0302,0.577,0.0,0.0563,0.385,96.803,spotify:track:1n7xFAY4xoPeqRvrkzAtsw,173173.0,4.0
Queen,The Show Must Go On - Remastered 2011,0.426,0.687,11.0,-6.926,0.0,0.0329,0.409,0.0,0.112,0.189,84.141,spotify:track:5n6RDaGFSN88oRWuGtYAIN,277827.0,4.0
Queen,You're My Best Friend - Remastered 2011,0.51,0.76,0.0,-6.995,1.0,0.0411,0.148,0.0116,0.0706,0.55,118.829,spotify:track:4vhVDkSx9RSb2k6mWFMYNI,170787.0,4.0
Queen,I Want It All - Single Version,0.406,0.847,11.0,-5.705,0.0,0.0482,0.0249,3.01e-06,0.375,0.379,92.245,spotify:track:1MX6kqZ8FOht5UnQuPl6Jj,242093.0,4.0
Queen,Fat Bottomed Girls - Remastered 2011,0.337,0.684,2.0,-7.674,1.0,0.0495,0.0319,6.57e-06,0.342,0.404,88.772,spotify:track:4igIYHF3B5VBxEafHauVo3,255600.0,4.0
Queen,Radio Ga Ga - Live Aid,0.406,0.934,5.0,-6.668,1.0,0.0845,0.0138,0.0,0.955,0.395,118.823,spotify:track:0YwBZKT8JE4U5TwmYE9BV9,245680.0,4.0
Queen,Hammer To Fall - Remastered 2011,0.428,0.787,9.0,-4.998,1.0,0.0849,0.315,2.03e-05,0.124,0.523,128.582,spotify:track:4zguEJ2UaLe4zbEIDWqiVP,218320.0,4.0
Queen,Too Much Love Will Kill You - Remastered 2011,0.385,0.395,7.0,-7.602,1.0,0.0313,0.58,6.31e-05,0.159,0.21,72.933,spotify:track:0W1uTK6I97CbjFKAVtRGfK,259213.0,4.0
Queen,Bicycle Race - Remastered 2011,0.463,0.671,3.0,-6.438,1.0,0.0683,0.0626,0.0,0.0947,0.633,84.28,spotify:track:5CTAcf8aS0a0sIsDwQRF9C,180813.0,4.0
Queen,We Are The Champions - Live Aid,0.316,0.86,7.0,-5.038,0.0,0.0661,0.175,4.92e-05,0.902,0.195,100.888,spotify:track:4XaG9IpCXklOcuau1sIrUX,237026.0,3.0
Queen,Who Wants To Live Forever - Remastered 2011,0.182,0.388,4.0,-8.672,0.0,0.0324,0.544,0.00134,0.114,0.0392,139.276,spotify:track:3SGP8It5WDnCONyApJKRTJ,295333.0,4.0
Queen,Friends Will Be Friends - Remastered 2011,0.447,0.531,7.0,-7.721,1.0,0.0269,0.0377,1.28e-05,0.336,0.339,75.051,spotify:track:3EGlnkJGcwz73rT0oE0X1X,246907.0,3.0
Queen,Cool Cat - Remastered 2011,0.818,0.4,9.0,-9.927,1.0,0.11,0.302,0.00241,0.18,0.838,73.76,spotify:track:7nhWtCc3v6Vem80gYPlppQ,209107.0,4.0
Queen,Seven Seas Of Rhye - Remastered 2011,0.317,0.896,2.0,-6.089,1.0,0.104,0.122,0.0168,0.253,0.421,126.894,spotify:track:1IhLUUzMxDDJ9pzfT95exy,168973.0,4.0
Queen,I Was Born To Love You - 2011 Remaster,0.449,0.908,8.0,-6.131,1.0,0.0853,0.0833,0.0,0.0971,0.495,139.083,spotify:track:7DtdhIJlSSOaAFNk4JdXCb,289813.0,4.0
Queen,Innuendo - Remastered 2011,0.346,0.728,1.0,-5.747,1.0,0.0451,0.187,0.00379,0.344,0.174,74.939,spotify:track:0BzhS74ByIVlyz8BedHaYi,393027.0,4.0
Queen,Keep Yourself Alive - Live At The Rainbow,0.308,0.975,9.0,-5.894,0.0,0.173,0.0194,9.14e-06,0.975,0.295,138.974,spotify:track:34pz8XUZRfw04lk4DPtwa7,236083.0,4.0
Queen,It's A Hard Life - Remastered 2011,0.42,0.599,3.0,-6.188,1.0,0.0291,0.422,0.0,0.159,0.299,82.336,spotify:track:34MoKBRdC9JDjcL4b4X1Ic,246973.0,4.0
Queen,Save Me - Remastered 2011,0.507,0.452,7.0,-6.8,1.0,0.0269,0.359,0.0,0.109,0.322,81.632,spotify:track:1pBFEy8cz0Fq4Pru0c4awd,229920.0,3.0
Queen,Breakthru - Remastered 2011,0.569,0.864,5.0,-5.697,1.0,0.0862,0.0614,0.00955,0.353,0.318,90.08,spotify:track:5Nuxdf0f5PpaeaPm4jrhiE,248387.0,4.0
Queen,Ay-Oh - Live Aid,0.215,0.87,2.0,-10.92,1.0,0.351,0.881,0.112,0.976,0.462,144.877,spotify:track:6Fl9MoM9BDk6vwbHqBBZeK,41455.0,3.0
Queen,Heaven For Everyone - Remastered 2011,0.593,0.425,0.0,-9.775,1.0,0.0288,0.29,1.34e-06,0.167,0.268,110.208,spotify:track:3Klfd4rsRO53fYpxmdQmYV,336160.0,4.0
Queen,One Vision - Remastered 2011,0.456,0.923,2.0,-7.398,1.0,0.223,0.0444,0.000296,0.361,0.338,120.004,spotify:track:3ROPrLWea9uICOW4V2Px1y,311027.0,4.0
Queen,Tie Your Mother Down - Remastered 2011,0.331,0.887,2.0,-5.588,1.0,0.0648,0.114,0.000103,0.367,0.196,135.035,spotify:track:4mLKx7zsUdyT4Ax7rI7KXu,287427.0,4.0
Queen,Play The Game - Remastered 2011,0.242,0.7,5.0,-5.772,1.0,0.0346,0.341,0.0,0.122,0.273,156.706,spotify:track:5p6xhgQCwzX0G9PadMU9GA,212533.0,4.0
Queen,You Don't Fool Me - Remastered 2011,0.591,0.829,4.0,-6.499,0.0,0.036,0.101,8.63e-05,0.385,0.574,121.964,spotify:track:1chxAv59LZcOE5FyrlUze2,324853.0,4.0
Queen,Princes Of The Universe - Remastered 2011,0.386,0.881,7.0,-5.045,1.0,0.0922,0.0327,0.0,0.296,0.267,81.397,spotify:track:0Uy8lcDHiPDicBQ7rnDgcK,213827.0,4.0
Queen,The Invisible Man - Remastered 2011,0.704,0.792,0.0,-6.94,1.0,0.0422,0.188,0.0155,0.328,0.563,119.994,spotify:track:6VoiY3rukFPoqzP4AoGPU8,237680.0,4.0
Queen,Headlong - Remastered 2011,0.566,0.912,2.0,-5.265,1.0,0.0964,0.192,7.19e-06,0.127,0.372,143.982,spotify:track:6goUTcMn0V30hWtKFIj6Kh,277773.0,4.0
Queen,Death On Two Legs (Dedicated To...) - Remastered 2011,0.373,0.691,2.0,-6.219,1.0,0.0554,0.362,4.03e-05,0.133,0.499,124.767,spotify:track:2MvRMWU2ILRcFEU8WWbuP8,223920.0,4.0
Queen,I'm In Love With My Car - Remastered 2011,0.292,0.803,4.0,-8.541,0.0,0.065,0.0113,5.63e-06,0.321,0.41,143.856,spotify:track:253ewjP2R1LjKqA70mGdnk,184893.0,3.0
George Michael,Somebody to Love,0.333,0.863,7.0,-6.918,1.0,0.0515,0.0518,0.0,0.972,0.384,110.162,spotify:track:1kn8Jj0i9IwyO3yDgDyUSR,318867.0,1.0
Queen,I'm Going Slightly Mad - Remastered 2011,0.639,0.83,9.0,-6.322,0.0,0.0544,0.583,1.38e-05,0.189,0.299,115.64,spotify:track:1pHVfiNHMMZYquR35fTZdM,262933.0,4.0
Queen,'39 - Remastered 2011,0.524,0.571,8.0,-9.686,1.0,0.0273,0.0271,0.0,0.111,0.373,101.626,spotify:track:65NTcXUtOb27NHKQ4fAcw0,210800.0,4.0
Queen,Flash - Single Version,0.48,0.654,4.0,-11.353,0.0,0.118,0.186,0.0208,0.11,0.208,108.449,spotify:track:5aswWmjJLHBSYFknQjegfg,168213.0,4.0
Queen,Liar - Remastered 2011,0.217,0.784,2.0,-7.202,1.0,0.153,0.00252,0.0775,0.195,0.27,79.181,spotify:track:6hPAoJvuIsgPlxnoZnjPRk,383907.0,4.0
Queen,Now I'm Here - Remastered 2011,0.492,0.759,4.0,-6.938,1.0,0.0511,0.0321,0.00224,0.0988,0.522,132.547,spotify:track:5v1osKVFv3rXWb1VJDO9pW,252933.0,4.0
Larry Heard,Dreaming Of Better Days,0.708,0.688,0.0,-13.666,0.0,0.0336,0.009,9.84e-06,0.227,0.891,117.988,spotify:track:4nP6WC0TU7MUIiop75FTVQ,306893.0,4.0
The Rolling Stones,Can't You Hear Me Knocking - Remastered,0.545,0.757,0.0,-5.228,1.0,0.0396,0.408,0.045,0.16,0.714,152.217,spotify:track:7HRKgCruDphRaLW4wmx8xM,436000.0,4.0
The Record Company,Off The Ground,0.543,0.696,7.0,-4.572,1.0,0.0426,0.601,0.215,0.384,0.849,92.15,spotify:track:3xRzUblYGZhVs52fMjii7R,253747.0,4.0
Chris Stapleton,Tennessee Whiskey,0.387,0.375,9.0,-10.852,1.0,0.0355,0.205,0.00647,0.0807,0.503,50.454,spotify:track:1hMFIOaHdvpWK7XI80Wx4d,293293.0,4.0
Nathaniel Rateliff & The Night Sweats,I Need Never Get Old,0.618,0.74,7.0,-5.589,1.0,0.0386,0.00227,0.0408,0.0797,0.809,135.088,spotify:track:2KHuxWSwK8fB1zZSL1pECV,253733.0,4.0
John Lee Hooker,"One Bourbon, One Scotch, One Beer",0.746,0.56,5.0,-14.789,1.0,0.0565,0.494,0.0,0.316,0.853,124.68,spotify:track:7oy11oZXWxwRYn5DUxk0oW,184960.0,4.0
Derek & The Dominos,Have You Ever Loved A Woman?,0.303,0.648,0.0,-6.795,1.0,0.0512,0.642,0.053,0.407,0.644,170.379,spotify:track:2ROJOb98GorxStuOuZWcGd,412960.0,3.0
Barns Courtney,Fire,0.553,0.635,10.0,-6.06,0.0,0.0294,0.208,0.000672,0.076,0.45,108.38,spotify:track:6pWsAhgMZzoLAJ0hJP41iq,197523.0,4.0
Tyler Bryant & the Shakedown,Devil's Keep,0.646,0.724,11.0,-5.383,1.0,0.0237,0.0531,0.000588,0.0597,0.328,103.394,spotify:track:3fxETTPvwxkkpq3Ax2ZbcN,265587.0,4.0
Vintage Trouble,Run Like The River,0.649,0.944,2.0,-4.518,1.0,0.0485,0.0158,4.41e-05,0.161,0.489,126.059,spotify:track:47aeY6IupdZAkLVoe5atUB,219745.0,4.0
