artist,track,genre,year
oliver anthony music,rich men north of richmond,country,2023
jimmy buffett,margaritaville,unknown,1977
zach bryan,i remember everything (feat. kacey musgraves),country,2023
jimmy buffett,come monday,unknown,1974
doja cat,paint the town red,unknown,2023
the rolling stones,angry,new release,2023
paul russell,lil boo thang,pop,2023
luke combs,fast car,country,2023
miley cyrus,used to be young,pop,2023
gary wright,dream weaver,unknown,1975
morgan wallen,last night,country,2023
taylor swift,cruel summer,pop,2019
jimmy buffett,cheeseburger in paradise,unknown,1985
chris stapleton,white horse,country,2023
dua lipa,dance the night,pop,2023
jimmy buffett,a pirate looks at forty,unknown,1974
jelly roll,need a favor,country,2023
nicki minaj,last time i saw you,new release,2023
jimmy buffett,"changes in latitudes, changes in attitudes",unknown,1977
zhang zhe han,pressure,new release,2023
lainey wilson,watermelon moonshine,country,2022
jason aldean,try that in a small town,country,2023
morgan wallen,thinkin’ bout me,country,2023
oliver anthony music,i want to go home,country,2023
teddy swims,lose control,pop,2023
jelly roll,save me (with lainey wilson),country,2023
gary wright,love is alive,unknown,1975
nickelback,rockstar,rock,2005
miley cyrus,flowers,pop,2023
smash mouth,all star,alternative,1999
oliver anthony music,90 some chevy,country,2023
bailey zimmerman,religiously,country,2023
rema & selena gomez,calm down,unknown,2022
fleetwood mac,dreams,rock,1987
olivia rodrigo,vampire,pop,2023
jimmy buffett,it's five o'clock somewhere (live),pop,2005
miley cyrus,used to be young,pop,2023
jimmy buffett,son of a son of a sailor,unknown,1978
luke combs,love you anyway,country,2023
oliver anthony music,aint gotta dollar,country,2022
tyler childers,in your love,country,2023
wayland,indiana jones,rock,2019
will dempsey,beat you there,country,2022
nickelback,far away,rock,2005
nickelback,how you remind me,rock,2001
metallica,enter sandman,heavy metal,1991
jimmy buffett,fins,unknown,1985
rod stewart,forever young,rock,1988
zach bryan,hey driver (feat. the war and treaty),country,2023
billie eilish,"what was i made for? [from the motion picture ""barbie""]",alternative,2023
jelly roll,son of a sinner,rock,2021
morgan wallen,everything i love,country,2023
zach bryan,something in the orange (z&e's version),country,2022
noah kahan & post malone,dial drunk,alternative,2023
miranda lambert,driving back there in my mind,new release,2023
"crosby, stills & nash",southern cross,rock,1982
nickelback,photograph,rock,2005
pretenders,i'll stand by you,rock,1994
selena gomez,single soon,pop,2023
carly pearce,we don't fight anymore (feat. chris stapleton),country,2023
fleetwood mac,gypsy,rock,1982
smash mouth,i'm a believer,pop,2001
kane brown,bury me in georgia (single edit),country,2023
sza,snooze,r&b / soul,2022
warren zeiders,pretty little poison,country,2023
elevation worship,"praise (feat. brandon lake, chris brown & chandler moore)",christian & gospel,2023
fleetwood mac,rhiannon,rock,1975
creedence clearwater revival,have you ever seen the rain,rock,1968
david kushner,daylight,pop,2023
"usher, summer walker & 21 savage",good good,r&b / soul,2023
olivia rodrigo,bad idea right?,new release,2023
trump latinos,latinos for trump,hip-hop / rap,2023
evanescence,bring me to life,rock,2003
"timbaland, nelly furtado & justin timberlake",keep going up,new release,2023
hwasa,i love my body,new release,2023
alan jackson,it's five o'clock somewhere (with jimmy buffett),country,2003
morgan wallen,thought you should know,country,2022
chicago,you're the inspiration,rock,1984
fall out boy,we didn’t start the fire,alternative,2023
taylor swift,anti-hero,pop,2022
jung kook & latto,seven,k-pop,2023
jung kook & latto,seven,k-pop,2023
nicki minaj & ice spice,barbie world (with aqua),hip-hop / rap,2023
chicago,hard to say i'm sorry / get away,rock,1982
cody johnson,the painter,country,2023
oliver anthony music,90 some chevy (live),new release,2023
tracy chapman,fast car,unknown,1988
hardy,truck bed,rock,2022
lil durk,all my life (feat. j. cole),unknown,2023
sia,unstoppable,pop,2016
norman greenbaum,spirit in the sky,rock,1969
chris tomlin,holy forever,christian & gospel,2022
jimmy buffett & martina mcbride,trip around the sun,country,2004
fleetwood mac,everywhere,rock,1987
kane brown & katelyn brown,thank god,country,2022
oliver anthony music,i want to go home (live),country,2023
